date,description,amount,type
2026-02-01,SALARY CREDIT ACME CORP,55000,credit
2026-02-01,STARBUCKS COFFEE,-312,debit
2026-02-01,CAFE COFFEE DAY,-176,debit
2026-02-03,NETFLIX SUBSCRIPTION,-649,debit
2026-02-03,UBER TRIP,-407,debit
2026-02-04,DOMINOS PIZZA,-542,debit
2026-02-04,LAPTOP PURCHASE AMAZON,-20231,debit
2026-02-05,RENT PAYMENT LANDLORD,-15000,debit
2026-02-05,STARBUCKS COFFEE,-276,debit
2026-02-06,ELECTRICITY BILL BESCOM,-2694,debit
2026-02-06,UBER TRIP,-313,debit
2026-02-07,BOOKMYSHOW EVENT,-1682,debit
2026-02-07,SWIGGY BANGALORE,-273,debit
2026-02-08,SPOTIFY PREMIUM,-119,debit
2026-02-08,MOVIE TICKETS PVR,-789,debit
2026-02-08,LOCAL GROCERY STORE,-673,debit
2026-02-08,STARBUCKS COFFEE,-303,debit
2026-02-09,CAFE COFFEE DAY,-193,debit
2026-02-09,OLA CABS,-183,debit
2026-02-10,AMAZON PRIME,-299,debit
2026-02-10,FLIPKART ORDER,-3056,debit
2026-02-10,MOVIE TICKETS PVR,-634,debit
2026-02-10,BOOKMYSHOW EVENT,-1321,debit
2026-02-11,BOOKMYSHOW EVENT,-935,debit
2026-02-11,IKEA FURNITURE,-9517,debit
2026-02-11,ZOMATO ORDER,-326,debit
2026-02-12,CULT FIT MEMBERSHIP,-1999,debit
2026-02-12,YOUTUBE PREMIUM,-129,debit
2026-02-12,BIGBASKET GROCERY,-2243,debit
2026-02-13,ZOMATO ORDER,-548,debit
2026-02-13,NETFLIX SUBSCRIPTION,-649,debit
2026-02-13,DMART SUPERMARKET,-1983,debit
2026-02-14,AMAZON SHOPPING,-6084,debit
2026-02-14,BOOKMYSHOW EVENT,-2074,debit
2026-02-14,AMAZON SHOPPING,-2904,debit
2026-02-15,ELECTRICITY BILL BESCOM,-2678,debit
2026-02-15,LOCAL GROCERY STORE,-482,debit
2026-02-15,UBER TRIP,-440,debit
2026-02-15,LOCAL GROCERY STORE,-819,debit
2026-02-16,WATER BILL BWSSB,-382,debit
2026-02-16,HEALTH INSURANCE PREMIUM,-2500,debit
2026-02-18,MOBILE RECHARGE JIO,-556,debit
2026-02-18,DOMINOS PIZZA,-884,debit
2026-02-19,UDEMY COURSE PURCHASE,-1025,debit
2026-02-19,FLIPKART ORDER,-2571,debit
2026-02-20,SIP MUTUAL FUND HDFC,-5000,debit
2026-02-20,SIP MUTUAL FUND AXIS,-3000,debit
2026-02-20,ZERODHA STOCK PURCHASE,-13680,debit
2026-02-20,LOCAL GROCERY STORE,-682,debit
2026-02-20,YOUTUBE PREMIUM,-129,debit
2026-02-21,OLA CABS,-212,debit
2026-02-21,FREELANCE PAYMENT RECEIVED,3964,credit
2026-02-22,MOVIE TICKETS PVR,-926,debit
2026-02-22,CAFE COFFEE DAY,-274,debit
2026-02-22,ZOMATO ORDER,-570,debit
2026-02-23,MEDICAL CHECKUP,-1579,debit
2026-02-24,LOCAL GROCERY STORE,-355,debit
2026-02-25,CREDIT CARD BILL PAYMENT,-4806,debit
2026-02-28,DOMINOS PIZZA,-450,debit
2026-02-28,DOMINOS PIZZA,-828,debit
2026-02-28,SWIGGY BANGALORE,-635,debit
2026-03-01,SALARY CREDIT ACME CORP,55000,credit
2026-03-01,RESTAURANT DINNER,-920,debit
2026-03-01,FLIGHT BOOKING MAKEMYTRIP,-27793,debit
2026-03-02,MEDICAL CHECKUP,-2532,debit
2026-03-02,IKEA FURNITURE,-4536,debit
2026-03-02,ZOMATO ORDER,-229,debit
2026-03-03,NETFLIX SUBSCRIPTION,-649,debit
2026-03-03,DOMINOS PIZZA,-644,debit
2026-03-03,OLA CABS,-129,debit
2026-03-04,WATER BILL BWSSB,-506,debit
2026-03-05,RENT PAYMENT LANDLORD,-15000,debit
2026-03-05,GAS CYLINDER BOOKING,-920,debit
2026-03-06,ZERODHA STOCK PURCHASE,-12972,debit
2026-03-07,MYNTRA FASHION,-2672,debit
2026-03-08,SPOTIFY PREMIUM,-119,debit
2026-03-09,ZOMATO ORDER,-459,debit
2026-03-09,DMART SUPERMARKET,-1040,debit
2026-03-09,BOOKMYSHOW EVENT,-1083,debit
2026-03-10,AMAZON PRIME,-299,debit
2026-03-10,GAS CYLINDER BOOKING,-902,debit
2026-03-10,MYNTRA FASHION,-1224,debit
2026-03-12,CULT FIT MEMBERSHIP,-1999,debit
2026-03-12,MOBILE RECHARGE JIO,-503,debit
2026-03-13,BIGBASKET GROCERY,-1389,debit
2026-03-15,ELECTRICITY BILL BESCOM,-1736,debit
2026-03-15,CULT FIT MEMBERSHIP,-1999,debit
2026-03-16,WATER BILL BWSSB,-376,debit
2026-03-16,GAMING SUBSCRIPTION,-965,debit
2026-03-17,MOVIE TICKETS PVR,-766,debit
2026-03-18,MOBILE RECHARGE JIO,-451,debit
2026-03-18,METRO CARD RECHARGE,-279,debit
2026-03-19,PHARMACY APOLLO,-722,debit
2026-03-19,FREELANCE PAYMENT RECEIVED,8442,credit
2026-03-20,SIP MUTUAL FUND HDFC,-5000,debit
2026-03-20,SIP MUTUAL FUND AXIS,-3000,debit
2026-03-20,FLIPKART ORDER,-2585,debit
2026-03-21,RESTAURANT DINNER,-1255,debit
2026-03-22,MOVIE TICKETS PVR,-628,debit
2026-03-22,FREELANCE PAYMENT RECEIVED,6164,credit
2026-03-23,STARBUCKS COFFEE,-339,debit
2026-03-24,UBER TRIP,-179,debit
2026-03-24,BOOKMYSHOW EVENT,-865,debit
2026-03-24,PETROL PUMP HP,-878,debit
2026-03-25,CREDIT CARD BILL PAYMENT,-9968,debit
2026-03-25,YOUTUBE PREMIUM,-129,debit
2026-03-25,LOCAL GROCERY STORE,-494,debit
2026-03-27,HEALTH INSURANCE PREMIUM,-2500,debit
2026-03-27,BIGBASKET GROCERY,-2560,debit
2026-03-28,STARBUCKS COFFEE,-379,debit
2026-03-28,DMART SUPERMARKET,-1568,debit
2026-03-30,GAMING SUBSCRIPTION,-982,debit
2026-03-30,LOCAL GROCERY STORE,-300,debit
2026-03-31,MOBILE RECHARGE JIO,-637,debit
2026-03-31,SPOTIFY PREMIUM,-119,debit
2026-04-01,SALARY CREDIT ACME CORP,55000,credit
2026-04-01,MYNTRA FASHION,-2911,debit
2026-04-01,MYNTRA FASHION,-1182,debit
2026-04-02,ZOMATO ORDER,-275,debit
2026-04-02,ZOMATO ORDER,-443,debit
2026-04-03,NETFLIX SUBSCRIPTION,-649,debit
2026-04-03,GAMING SUBSCRIPTION,-599,debit
2026-04-04,CAFE COFFEE DAY,-151,debit
2026-04-05,RENT PAYMENT LANDLORD,-15000,debit
2026-04-05,PHARMACY APOLLO,-480,debit
2026-04-05,HEALTH INSURANCE PREMIUM,-2500,debit
2026-04-05,ZOMATO ORDER,-262,debit
2026-04-06,BOOK PURCHASE AMAZON,-1206,debit
2026-04-06,GAS CYLINDER BOOKING,-1009,debit
2026-04-07,MEDICAL CHECKUP,-2643,debit
2026-04-07,BIGBASKET GROCERY,-2505,debit
2026-04-07,LOCAL GROCERY STORE,-796,debit
2026-04-08,SPOTIFY PREMIUM,-119,debit
2026-04-09,OLA CABS,-177,debit
2026-04-10,AMAZON PRIME,-299,debit
2026-04-10,RESTAURANT DINNER,-1477,debit
2026-04-10,METRO CARD RECHARGE,-231,debit
2026-04-11,UBER TRIP,-414,debit
2026-04-11,BIGBASKET GROCERY,-1920,debit
2026-04-11,DMART SUPERMARKET,-1758,debit
2026-04-12,CULT FIT MEMBERSHIP,-1999,debit
2026-04-12,BOOKMYSHOW EVENT,-949,debit
