date,description,amount,type,category
2020-01-02,Score each.,-1485.69,debit,Food & Drink
2020-01-02,Quality throughout.,-1475.58,debit,Utilities
2020-01-04,Instead ahead despite measure ago.,-1185.08,debit,Rent
2020-01-05,Information last everything thank serve.,2291.0,credit,Investment
2020-01-13,Future choice whatever from.,-1126.88,debit,Food & Drink
2020-01-14,Benefit suggest page southern.,-448.68,debit,Shopping
2020-01-18,By two bad fall pick.,-1520.03,debit,Food & Drink
2020-01-19,Court attorney product significant world.,3287.0,credit,Other
2020-01-21,Herself law.,-1914.85,debit,Entertainment
2020-01-25,Have decide environment.,-766.06,debit,Rent
2020-01-25,Play move each left establish.,-1211.41,debit,Health & Fitness
2020-01-26,Range successful simply.,-1077.09,debit,Salary
2020-01-29,Source husband.,-166.81,debit,Shopping
2020-01-30,Tree note responsibility.,-1158.93,debit,Health & Fitness
2020-01-31,How trip learn enter.,-1325.91,debit,Food & Drink
2020-01-31,Much section investment on gun.,-1712.08,debit,Rent
2020-01-31,Management sense technology check civil.,-563.17,debit,Shopping
2020-02-02,As high you more wife.,-333.68,debit,Health & Fitness
2020-02-04,Race mr.,-1406.62,debit,Travel
2020-02-05,Born itself law west.,-1222.17,debit,Rent
2020-02-05,Seven medical blood personal.,1838.0,credit,Investment
2020-02-07,Current hear claim well two.,-1979.15,debit,Travel
2020-02-07,Food affect upon these story.,-1372.38,debit,Entertainment
2020-02-08,Staff within mouth call.,3786.0,credit,Other
2020-02-08,Around there water.,-465.81,debit,Food & Drink
2020-02-09,Close month parent who up.,-1827.14,debit,Entertainment
2020-02-11,Human public health.,-433.13,debit,Health & Fitness
2020-02-13,Building different full open.,-294.31,debit,Salary
2020-02-15,Detail audience piece director town.,4009.0,credit,Other
2020-02-16,Method everything.,-730.37,debit,Shopping
2020-02-16,Much rich think.,-1023.96,debit,Utilities
2020-02-18,Drug list imagine behind.,1398.0,credit,Investment
2020-02-19,Interest level rock pull.,3958.0,credit,Investment
2020-02-20,I fund.,-769.42,debit,Shopping
2020-02-26,Court movie cell.,-1942.45,debit,Travel
2020-02-27,Leg themselves away.,-1363.76,debit,Food & Drink
2020-02-28,Anything yourself.,3286.0,credit,Other
2020-02-28,Unit support.,1795.0,credit,Other
2020-02-29,Magazine degree husband around.,-1944.06,debit,Travel
2020-03-03,World enter.,-1742.33,debit,Rent
2020-03-04,Institution whatever yet.,-314.15,debit,Entertainment
2020-03-04,Choice father why often.,-1201.9,debit,Food & Drink
2020-03-09,Security arm.,-1858.91,debit,Rent
2020-03-09,Me system church whether.,-486.51,debit,Travel
2020-03-11,Attention attack technology.,-180.45,debit,Rent
2020-03-11,Walk now often.,-1956.19,debit,Rent
2020-03-12,Enter capital population.,-537.46,debit,Utilities
2020-03-12,Bank price north first end.,-265.5,debit,Utilities
2020-03-14,Upon very act perform.,-1929.08,debit,Shopping
2020-03-15,Available defense.,-1428.77,debit,Entertainment
2020-03-18,Value thing these.,-881.82,debit,Health & Fitness
2020-03-21,Citizen street region.,-503.33,debit,Rent
2020-03-23,Property never.,2385.0,credit,Investment
2020-03-23,Enough threat score.,-151.28,debit,Food & Drink
2020-03-24,Example decision garden.,-144.13,debit,Entertainment
2020-03-28,Major town suffer begin.,1080.0,credit,Other
2020-04-01,Analysis four capital.,-1341.27,debit,Travel
2020-04-05,Scientist necessary into.,-1449.47,debit,Utilities
2020-04-06,Along hard need involve among.,-388.92,debit,Shopping
2020-04-06,Away third.,-493.56,debit,Salary
2020-04-10,Together decide.,3402.0,credit,Other
2020-04-17,Government nice.,-1729.04,debit,Salary
2020-04-17,See understand door class son.,996.0,credit,Investment
2020-04-18,Agent say forward us.,-1603.18,debit,Health & Fitness
2020-04-22,City red him.,2058.0,credit,Investment
